1	1.0	0.78	0.82	0.81	0.68	0.51	0.46	0.45	0.37	0.92	0.73	0.76
2	1.0	0.67	0.54	0.53	0.78	0.51	0.46	0.4	0.42	0.84	0.71	0.78
3	1.0	1.71	1.84	2.18	1.7	1.14	0.85	0.68	0.59	0.53	0.46	0.44
11	1.0	0.97	0.66	1.02	2.07	2.11	1.61	1.65	0.73	0.65	0.55	0.58
4	1.0	0.82	1.01	0.98	0.87	0.93	0.96	1.08	1.67	3.42	5.71	6.62
5	1.0	2.41	4.84	5.49	1.01	0.69	0.49	0.52	0.46	0.82	0.77	0.9
6	1.0	0.81	0.94	1.07	0.82	4.51	3.6	2.62	1.97	1.09	1.69	1.68
7	1.0	1.11	0.72	0.86	1.08	1.1	1.12	1.55	1.39	2.07	2.24	2.71
8	1.0	0.72	1.03	0.65	0.63	1.16	1.74	1.88	1.99	2.03	2.21	2.35
9	1.0	1.21	2.85	2.15	2.04	2.95	3.0	4.49	4.91	2.17	1.9	1.36
10	1.0	1.15	3.36	4.32	3.21	4.62	3.89	2.42	1.4	1.07	0.99	1.2
