1	1	5.4	3.9	1.7	0.4
2	3	6.4	3.1	5.5	1.8
3	1	4.6	3.6	1.0	0.2
4	1	5.5	4.2	1.4	0.2
5	1	5.1	3.5	1.4	0.2
6	1	4.3	3.0	1.1	0.1
7	3	7.7	2.6	6.9	2.3
8	3	6.4	2.7	5.3	1.9
9	2	6.0	2.9	4.5	1.5
10	2	6.7	3.1	4.4	1.4
11	3	6.9	3.1	5.1	2.3
12	1	4.9	3.1	1.5	0.1
13	3	5.8	2.8	5.1	2.4
14	1	5.5	3.5	1.3	0.2
15	1	4.8	3.0	1.4	0.1
16	1	5.1	3.8	1.5	0.3
17	3	6.7	3.3	5.7	2.1
18	2	6.4	3.2	4.5	1.5
19	1	5.7	4.4	1.5	0.4
20	3	6.8	3.0	5.5	2.1
21	1	4.6	3.4	1.4	0.3
22	2	6.8	2.8	4.8	1.4
23	3	6.3	3.3	6.0	2.5
24	2	5.6	2.9	3.6	1.3
25	3	5.7	2.5	5.0	2.0
26	1	5.1	3.7	1.5	0.4
27	1	5.1	3.5	1.4	0.3
28	3	6.3	2.5	5.0	1.9
29	1	5.4	3.4	1.5	0.4
30	2	5.8	2.7	3.9	1.2
31	3	6.0	3.0	4.8	1.8
32	2	5.5	2.6	4.4	1.2
33	3	7.2	3.2	6.0	1.8
34	2	5.2	2.7	3.9	1.4
35	3	7.4	2.8	6.1	1.9
36	2	5.5	2.4	3.8	1.1
37	2	4.9	2.4	3.3	1.0
38	2	5.6	3.0	4.5	1.5
39	3	6.9	3.2	5.7	2.3
40	1	4.4	3.0	1.3	0.2
41	3	5.9	3.0	5.1	1.8
42	2	5.7	3.0	4.2	1.2
43	1	4.4	3.2	1.3	0.2
44	1	5.3	3.7	1.5	0.2
45	2	5.0	2.3	3.3	1.0
46	1	4.6	3.1	1.5	0.2
47	2	5.4	3.0	4.5	1.5
48	1	5.0	3.0	1.6	0.2
49	3	7.7	2.8	6.7	2.0
50	1	5.4	3.7	1.5	0.2
51	3	4.9	2.5	4.5	1.7
52	1	4.9	3.1	1.5	0.1
53	2	5.5	2.5	4.0	1.3
54	2	6.1	2.8	4.0	1.3
55	2	6.5	2.8	4.6	1.5
56	2	5.7	2.8	4.1	1.3
57	1	5.2	3.4	1.4	0.2
58	3	6.7	3.3	5.7	2.5
59	3	7.9	3.8	6.4	2.0
60	3	6.5	3.0	5.2	2.0
61	1	5.0	3.5	1.3	0.3
62	3	7.2	3.0	5.8	1.6
63	1	5.0	3.5	1.6	0.6
64	3	6.2	3.4	5.4	2.3
65	1	4.9	3.0	1.4	0.2
66	2	6.3	3.3	4.7	1.6
67	3	6.7	3.1	5.6	2.4
68	2	6.1	3.0	4.6	1.4
69	3	6.9	3.1	5.4	2.1
70	3	5.8	2.7	5.1	1.9
71	1	4.5	2.3	1.3	0.3
72	2	6.1	2.9	4.7	1.4
73	2	6.3	2.5	4.9	1.5
74	3	6.3	2.8	5.1	1.5
75	2	5.0	2.0	3.5	1.0
76	3	5.8	2.7	5.1	1.9
77	2	6.1	2.8	4.7	1.2
78	2	5.7	2.8	4.5	1.3
79	1	5.0	3.6	1.4	0.2
80	3	6.5	3.0	5.8	2.2
81	2	5.7	2.6	3.5	1.0
82	2	6.0	2.2	4.0	1.0
83	1	5.1	3.3	1.7	0.5
84	1	4.8	3.4	1.6	0.2
85	3	6.4	2.8	5.6	2.2
86	1	5.4	3.9	1.3	0.4
87	2	6.0	3.4	4.5	1.6
88	2	6.7	3.0	5.0	1.7
89	2	6.2	2.9	4.3	1.3
90	1	5.2	3.5	1.5	0.2
91	2	5.9	3.2	4.8	1.8
92	1	5.4	3.4	1.7	0.2
93	3	7.7	3.8	6.7	2.2
94	2	6.3	2.3	4.4	1.3
95	1	5.1	3.4	1.5	0.2
96	2	5.9	3.0	4.2	1.5
97	3	6.7	2.5	5.8	1.8
98	3	6.3	2.9	5.6	1.8
99	3	6.5	3.2	5.1	2.0
100	2	6.4	2.9	4.3	1.3
101	1	5.1	3.8	1.9	0.4
102	2	5.6	2.5	3.9	1.1
103	2	7.0	3.2	4.7	1.4
104	3	6.7	3.0	5.2	2.3
105	1	4.8	3.1	1.6	0.2
106	2	5.5	2.3	4.0	1.3
107	3	7.7	3.0	6.1	2.3
108	1	4.8	3.0	1.4	0.3
109	2	5.8	2.7	4.1	1.0
110	3	5.6	2.8	4.9	2.0
111	3	6.1	3.0	4.9	1.8
112	1	4.4	2.9	1.4	0.2
113	1	4.9	3.1	1.5	0.1
114	2	6.2	2.2	4.5	1.5
115	3	6.3	3.4	5.6	2.4
116	1	5.1	3.8	1.6	0.2
117	2	6.0	2.7	5.1	1.6
118	1	5.7	3.8	1.7	0.3
119	1	4.6	3.2	1.4	0.2
120	3	7.2	3.6	6.1	2.5
121	2	5.6	2.7	4.2	1.3
122	1	4.7	3.2	1.3	0.2
123	3	6.0	2.2	5.0	1.5
124	3	6.5	3.0	5.5	1.8
125	3	6.8	3.2	5.9	2.3
126	2	6.9	3.1	4.9	1.5
127	1	5.0	3.2	1.2	0.2
128	3	6.4	2.8	5.6	2.1
129	1	5.0	3.4	1.6	0.4
130	1	4.7	3.2	1.6	0.2
131	2	5.6	3.0	4.1	1.3
132	3	6.2	2.8	4.8	1.8
133	2	5.8	2.6	4.0	1.2
134	1	4.8	3.4	1.9	0.2
135	2	5.7	2.9	4.2	1.3
136	2	6.6	3.0	4.4	1.4
137	2	6.6	2.9	4.6	1.3
138	2	6.7	3.1	4.7	1.5
139	1	5.8	4.0	1.2	0.2
140	2	5.5	2.4	3.7	1.0
141	3	7.1	3.0	5.9	2.1
142	1	5.2	4.1	1.5	0.1
143	3	7.6	3.0	6.6	2.1
144	3	6.1	2.6	5.6	1.4
145	1	5.0	3.3	1.4	0.2
146	2	5.1	2.5	3.0	1.1
147	1	5.0	3.4	1.5	0.2
148	3	6.3	2.7	4.9	1.8
149	3	7.3	2.9	6.3	1.8
150	3	6.4	3.2	5.3	2.3
